alpha, beta, latent_features, steps, error_limit, fit_error_limit, learning_rate, NDCG
10000, 1, 20, 600, 1e-06, 1e-05, 1e-06, 0.4336938423150583
10000, 1e-08, 75, 300, 1e-06, 1e-05, 1e-07, 0.43315221393014364
10000, 1e-08, 20, 300, 1e-06, 1e-05, 1e-06, 0.43336625295523556
10000, 1e-10, 20, 200, 1e-06, 1e-05, 1e-06, 0.43436000982292644
10000, 0.01, 20, 1000, 1e-06, 1e-05, 1e-06, 0.4345905244137273
10000, 0.0001, 20, 900, 1e-06, 1e-05, 1e-06, 0.43361651158641434
10000, 1e-10, 20, 100, 1e-06, 1e-05, 1e-06, 0.42948066912290067
10000, 1e-08, 20, 900, 1e-06, 1e-05, 1e-06, 0.4328949927317675
10000, 1e-06, 20, 700, 1e-06, 1e-05, 1e-06, 0.4358626233834391
10000, 1e-08, 20, 700, 1e-06, 1e-05, 1e-06, 0.4334181854777158
10000, 1e-06, 20, 400, 1e-06, 1e-05, 1e-06, 0.43028047392568014
10000, 10000, 20, 500, 1e-06, 1e-05, 1e-06, 0.4348310074662135
10000, 100, 20, 900, 1e-06, 1e-05, 1e-06, 0.43355426760605653
10000, 100, 20, 400, 1e-06, 1e-05, 1e-06, 0.4332251294916827
10000, 1, 20, 900, 1e-06, 1e-05, 1e-07, 0.42708360203146767
10000, 10000, 50, 400, 1e-06, 1e-05, 1e-07, 0.4315453868869169
10000, 0.0001, 20, 1000, 1e-06, 1e-05, 1e-07, 0.42753361589673267
10000, 1e-10, 20, 900, 1e-06, 1e-05, 1e-07, 0.42703035566251246
10000, 1e-06, 20, 800, 1e-06, 1e-05, 1e-06, 0.4338553900973698
10000, 10000, 20, 100, 1e-06, 1e-05, 1e-06, 0.4302449514518629
10000, 100, 20, 500, 1e-06, 1e-05, 1e-06, 0.43115404406032865
10000, 1e-08, 20, 200, 1e-06, 1e-05, 1e-06, 0.4315475830683188
10000, 100, 20, 700, 1e-06, 1e-05, 1e-07, 0.4229969944603266
10000, 1e-10, 75, 300, 1e-06, 1e-05, 1e-07, 0.4351838792670728
10000, 100, 50, 300, 1e-06, 1e-05, 1e-07, 0.4285031300704279
10000, 0.01, 50, 300, 1e-06, 1e-05, 1e-07, 0.4302537898704519
10000, 0.0001, 50, 300, 1e-06, 1e-05, 1e-07, 0.4307777297039845
10000, 100, 20, 1000, 1e-06, 1e-05, 1e-07, 0.4305485557466979
10000, 0.0001, 20, 200, 1e-06, 1e-05, 1e-06, 0.42996094509799265
10000, 10000, 100, 300, 1e-06, 1e-05, 1e-07, 0.4385278884674248
10000, 10000, 20, 400, 1e-06, 1e-05, 1e-06, 0.43371926337084377
10000, 0.01, 20, 800, 1e-06, 1e-05, 1e-06, 0.43360287785456286
10000, 1e-08, 20, 800, 1e-06, 1e-05, 1e-07, 0.4272397224229304
10000, 10000, 20, 600, 1e-06, 1e-05, 1e-07, 0.42049239457026305
10000, 10000, 20, 1000, 1e-06, 1e-05, 1e-06, 0.433962882744376
10000, 1e-08, 20, 100, 1e-06, 1e-05, 1e-06, 0.42927675804443943
10000, 1e-08, 20, 500, 1e-06, 1e-05, 1e-06, 0.43434082411646074
10000, 1, 20, 900, 1e-06, 1e-05, 1e-06, 0.4332682544064828
10000, 1e-10, 20, 500, 1e-06, 1e-05, 1e-06, 0.43252437988778236
10000, 1, 20, 100, 1e-06, 1e-05, 1e-06, 0.43125373273533935
10000, 1, 20, 800, 1e-06, 1e-05, 1e-06, 0.4335739334038759
10000, 1, 20, 1000, 1e-06, 1e-05, 1e-07, 0.430112807879204
